Scenario,ScenarioName,Algorithm,Seed,CapWatts,TotalSolutions,FeasibleSolutions,FeasibilityRate,PeakPowerMax
1,Balanced,AMOSA_PC_190kW,203,120000.0,26,0,0.0000,188737.314
1,Balanced,AMOSA_PC_190kW,204,220000.0,42,42,1.0000,189969.177
1,Balanced,AMOSA_PC_190kW,204,190000.0,42,42,1.0000,189969.177
1,Balanced,AMOSA_PC_190kW,204,120000.0,42,0,0.0000,189969.177
1,Balanced,AMOSA_PC_190kW,205,220000.0,39,39,1.0000,189603.631
1,Balanced,AMOSA_PC_190kW,205,190000.0,39,39,1.0000,189603.631
1,Balanced,AMOSA_PC_190kW,205,120000.0,39,0,0.0000,189603.631
1,Balanced,AMOSA_PC_190kW,206,220000.0,29,29,1.0000,188518.993
1,Balanced,AMOSA_PC_190kW,206,190000.0,29,29,1.0000,188518.993
1,Balanced,AMOSA_PC_190kW,206,120000.0,29,0,0.0000,188518.993
1,Balanced,AMOSA_PC_190kW,207,220000.0,38,38,1.0000,189793.927
1,Balanced,AMOSA_PC_190kW,207,190000.0,38,38,1.0000,189793.927
1,Balanced,AMOSA_PC_190kW,207,120000.0,38,0,0.0000,189793.927
1,Balanced,AMOSA_PC_190kW,208,220000.0,29,29,1.0000,189788.763
1,Balanced,AMOSA_PC_190kW,208,190000.0,29,29,1.0000,189788.763
1,Balanced,AMOSA_PC_190kW,208,120000.0,29,0,0.0000,189788.763
1,Balanced,AMOSA_PC_190kW,209,220000.0,26,26,1.0000,189818.855
1,Balanced,AMOSA_PC_190kW,209,190000.0,26,26,1.0000,189818.855
1,Balanced,AMOSA_PC_190kW,209,120000.0,26,0,0.0000,189818.855
1,Balanced,AMOSA_PC_120kW,200,220000.0,7,7,1.0000,119914.916
1,Balanced,AMOSA_PC_120kW,200,190000.0,7,7,1.0000,119914.916
1,Balanced,AMOSA_PC_120kW,200,120000.0,7,7,1.0000,119914.916
1,Balanced,AMOSA_PC_120kW,201,220000.0,10,10,1.0000,119876.972
1,Balanced,AMOSA_PC_120kW,201,190000.0,10,10,1.0000,119876.972
1,Balanced,AMOSA_PC_120kW,201,120000.0,10,10,1.0000,119876.972
1,Balanced,AMOSA_PC_120kW,202,220000.0,8,8,1.0000,119951.804
1,Balanced,AMOSA_PC_120kW,202,190000.0,8,8,1.0000,119951.804
1,Balanced,AMOSA_PC_120kW,202,120000.0,8,8,1.0000,119951.804
1,Balanced,AMOSA_PC_120kW,203,220000.0,22,22,1.0000,119849.855
1,Balanced,AMOSA_PC_120kW,203,190000.0,22,22,1.0000,119849.855
1,Balanced,AMOSA_PC_120kW,203,120000.0,22,22,1.0000,119849.855
1,Balanced,AMOSA_PC_120kW,204,220000.0,5,5,1.0000,119730.370
