CapTier,CapWatts,Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs,HV_fixed,ScoredSeeds
PC80,13435.070,SA_Energy_Dominance,STDDEV,0.042199,0.022491,0.021054,0.006756,,,,,0.020580,
PC80,13435.070,NSGA-II,200,0.562765,0.047637,0.132333,0.008548,48,48,1,20921,0.677690,
PC80,13435.070,NSGA-II,201,0.500937,0.011355,0.256469,0.004025,36,36,3,19659,0.605442,
PC80,13435.070,NSGA-II,202,0.332738,0.195837,0.289964,0.008707,34,34,0,20303,0.471317,
PC80,13435.070,NSGA-II,203,0.339602,0.161868,0.293040,0.004185,42,42,0,20361,0.473529,
PC80,13435.070,NSGA-II,204,0.458916,0.103432,0.217574,0.004569,45,45,0,20190,0.580271,
PC80,13435.070,NSGA-II,205,0.570462,0.041087,0.126815,0.009045,37,37,11,20762,0.685658,
PC80,13435.070,NSGA-II,206,0.513553,0.030142,0.202213,0.010608,36,36,1,19785,0.620268,
PC80,13435.070,NSGA-II,207,0.471189,0.049674,0.232494,0.037925,18,18,0,21152,0.581304,
PC80,13435.070,NSGA-II,208,0.468380,0.102186,0.194076,0.013250,43,43,0,21664,0.590421,
PC80,13435.070,NSGA-II,209,0.578628,0.020186,0.136590,0.007610,41,41,10,20872,0.688111,
PC80,13435.070,NSGA-II,MEAN,0.479717,0.076340,0.208157,0.010847,38,38,26,20566,0.597401,10
PC80,13435.070,NSGA-II,STDDEV,0.082692,0.059401,0.058850,0.009450,,,,,0.074091,
PC80,13435.070,SPEA-II,200,0.526222,0.013660,0.233671,0.005867,38,38,3,20689,0.628429,
PC80,13435.070,SPEA-II,201,0.365072,0.137105,0.287627,0.005269,30,30,0,20840,0.493430,
PC80,13435.070,SPEA-II,202,0.456267,0.090784,0.236448,0.005062,30,30,0,22253,0.571631,
PC80,13435.070,SPEA-II,203,0.355724,0.138950,0.287602,0.006176,32,32,0,21046,0.485616,
PC80,13435.070,SPEA-II,204,0.515237,0.078482,0.164983,0.008568,40,40,0,20912,0.629121,
PC80,13435.070,SPEA-II,205,0.481589,0.027428,0.250765,0.005448,37,37,0,20621,0.589062,
PC80,13435.070,SPEA-II,206,0.417114,0.118382,0.249035,0.004601,39,39,0,20991,0.541471,
PC80,13435.070,SPEA-II,207,0.358573,0.149259,0.297196,0.004603,31,31,0,21188,0.489240,
PC80,13435.070,SPEA-II,208,0.524387,0.000000,0.249257,0.005983,34,34,34,20337,0.624888,
