Algorithm,Seed,SeedUniversalFrontSize,SeedUniversalHV_fixed,ContributionCount,ContributionPct
SPEA-II_PC70,207,120,0.804333,0,0.000000
SPEA-II_PC70,208,115,0.798808,0,0.000000
SPEA-II_PC70,209,113,0.824576,0,0.000000
SPEA-II_PC70,MEAN,,,0.000000,0.000000
SPEA-II_PC70,STDDEV,,,0.000000,0.000000
AMOSA_PC70,200,120,0.811514,0,0.000000
AMOSA_PC70,201,98,0.833242,0,0.000000
AMOSA_PC70,202,132,0.847837,0,0.000000
AMOSA_PC70,203,101,0.824075,0,0.000000
AMOSA_PC70,204,113,0.843640,0,0.000000
AMOSA_PC70,205,95,0.787543,0,0.000000
AMOSA_PC70,206,130,0.842510,0,0.000000
AMOSA_PC70,207,120,0.804333,0,0.000000
AMOSA_PC70,208,115,0.798808,0,0.000000
AMOSA_PC70,209,113,0.824576,0,0.000000
AMOSA_PC70,MEAN,,,0.000000,0.000000
AMOSA_PC70,STDDEV,,,0.000000,0.000000
GA_WaitingTime_Dominance_PC60,200,120,0.811514,0,0.000000
GA_WaitingTime_Dominance_PC60,201,98,0.833242,0,0.000000
GA_WaitingTime_Dominance_PC60,202,132,0.847837,0,0.000000
GA_WaitingTime_Dominance_PC60,203,101,0.824075,0,0.000000
GA_WaitingTime_Dominance_PC60,204,113,0.843640,0,0.000000
GA_WaitingTime_Dominance_PC60,205,95,0.787543,0,0.000000
GA_WaitingTime_Dominance_PC60,206,130,0.842510,0,0.000000
GA_WaitingTime_Dominance_PC60,207,120,0.804333,0,0.000000
GA_WaitingTime_Dominance_PC60,208,115,0.798808,0,0.000000
GA_WaitingTime_Dominance_PC60,209,113,0.824576,0,0.000000
GA_WaitingTime_Dominance_PC60,MEAN,,,0.000000,0.000000
GA_WaitingTime_Dominance_PC60,STDDEV,,,0.000000,0.000000
GA_Energy_Dominance_PC60,200,120,0.811514,0,0.000000
GA_Energy_Dominance_PC60,201,98,0.833242,0,0.000000
GA_Energy_Dominance_PC60,202,132,0.847837,0,0.000000
GA_Energy_Dominance_PC60,203,101,0.824075,0,0.000000
GA_Energy_Dominance_PC60,204,113,0.843640,0,0.000000
GA_Energy_Dominance_PC60,205,95,0.787543,0,0.000000
GA_Energy_Dominance_PC60,206,130,0.842510,0,0.000000
GA_Energy_Dominance_PC60,207,120,0.804333,0,0.000000
GA_Energy_Dominance_PC60,208,115,0.798808,0,0.000000
GA_Energy_Dominance_PC60,209,113,0.824576,0,0.000000
GA_Energy_Dominance_PC60,MEAN,,,0.000000,0.000000
GA_Energy_Dominance_PC60,STDDEV,,,0.000000,0.000000
SA_WaitingTime_Dominance_PC60,200,120,0.811514,0,0.000000
SA_WaitingTime_Dominance_PC60,201,98,0.833242,0,0.000000
SA_WaitingTime_Dominance_PC60,202,132,0.847837,0,0.000000
SA_WaitingTime_Dominance_PC60,203,101,0.824075,0,0.000000
SA_WaitingTime_Dominance_PC60,204,113,0.843640,0,0.000000
SA_WaitingTime_Dominance_PC60,205,95,0.787543,0,0.000000
SA_WaitingTime_Dominance_PC60,206,130,0.842510,0,0.000000
SA_WaitingTime_Dominance_PC60,207,120,0.804333,0,0.000000
SA_WaitingTime_Dominance_PC60,208,115,0.798808,0,0.000000
SA_WaitingTime_Dominance_PC60,209,113,0.824576,0,0.000000
SA_WaitingTime_Dominance_PC60,MEAN,,,0.000000,0.000000
SA_WaitingTime_Dominance_PC60,STDDEV,,,0.000000,0.000000
SA_Energy_Dominance_PC60,200,120,0.811514,0,0.000000
SA_Energy_Dominance_PC60,201,98,0.833242,0,0.000000
SA_Energy_Dominance_PC60,202,132,0.847837,0,0.000000
SA_Energy_Dominance_PC60,203,101,0.824075,0,0.000000
SA_Energy_Dominance_PC60,204,113,0.843640,0,0.000000
SA_Energy_Dominance_PC60,205,95,0.787543,0,0.000000
SA_Energy_Dominance_PC60,206,130,0.842510,3,2.307692
SA_Energy_Dominance_PC60,207,120,0.804333,0,0.000000
SA_Energy_Dominance_PC60,208,115,0.798808,0,0.000000
SA_Energy_Dominance_PC60,209,113,0.824576,0,0.000000
SA_Energy_Dominance_PC60,MEAN,,,0.300000,0.230769
SA_Energy_Dominance_PC60,STDDEV,,,0.900000,0.692308
NSGA-II_PC60,200,120,0.811514,0,0.000000
NSGA-II_PC60,201,98,0.833242,0,0.000000
NSGA-II_PC60,202,132,0.847837,0,0.000000
NSGA-II_PC60,203,101,0.824075,0,0.000000
NSGA-II_PC60,204,113,0.843640,0,0.000000
NSGA-II_PC60,205,95,0.787543,0,0.000000
NSGA-II_PC60,206,130,0.842510,0,0.000000
NSGA-II_PC60,207,120,0.804333,0,0.000000
NSGA-II_PC60,208,115,0.798808,0,0.000000
NSGA-II_PC60,209,113,0.824576,0,0.000000
NSGA-II_PC60,MEAN,,,0.000000,0.000000
NSGA-II_PC60,STDDEV,,,0.000000,0.000000
SPEA-II_PC60,200,120,0.811514,0,0.000000
SPEA-II_PC60,201,98,0.833242,0,0.000000
SPEA-II_PC60,202,132,0.847837,0,0.000000
SPEA-II_PC60,203,101,0.824075,0,0.000000
SPEA-II_PC60,204,113,0.843640,0,0.000000
SPEA-II_PC60,205,95,0.787543,0,0.000000
SPEA-II_PC60,206,130,0.842510,0,0.000000
SPEA-II_PC60,207,120,0.804333,0,0.000000
SPEA-II_PC60,208,115,0.798808,0,0.000000
SPEA-II_PC60,209,113,0.824576,0,0.000000
SPEA-II_PC60,MEAN,,,0.000000,0.000000
SPEA-II_PC60,STDDEV,,,0.000000,0.000000
AMOSA_PC60,200,120,0.811514,0,0.000000
AMOSA_PC60,201,98,0.833242,0,0.000000
AMOSA_PC60,202,132,0.847837,0,0.000000
AMOSA_PC60,203,101,0.824075,0,0.000000
AMOSA_PC60,204,113,0.843640,0,0.000000
AMOSA_PC60,205,95,0.787543,0,0.000000
AMOSA_PC60,206,130,0.842510,0,0.000000
AMOSA_PC60,207,120,0.804333,0,0.000000
AMOSA_PC60,208,115,0.798808,0,0.000000
AMOSA_PC60,209,113,0.824576,0,0.000000
AMOSA_PC60,MEAN,,,0.000000,0.000000
AMOSA_PC60,STDDEV,,,0.000000,0.000000
GA_WaitingTime_Dominance_PC50,200,120,0.811514,0,0.000000
GA_WaitingTime_Dominance_PC50,201,98,0.833242,0,0.000000
GA_WaitingTime_Dominance_PC50,202,132,0.847837,0,0.000000
GA_WaitingTime_Dominance_PC50,203,101,0.824075,0,0.000000
GA_WaitingTime_Dominance_PC50,204,113,0.843640,0,0.000000
GA_WaitingTime_Dominance_PC50,205,95,0.787543,0,0.000000
GA_WaitingTime_Dominance_PC50,206,130,0.842510,0,0.000000
GA_WaitingTime_Dominance_PC50,207,120,0.804333,0,0.000000
GA_WaitingTime_Dominance_PC50,208,115,0.798808,0,0.000000
GA_WaitingTime_Dominance_PC50,209,113,0.824576,0,0.000000
GA_WaitingTime_Dominance_PC50,MEAN,,,0.000000,0.000000
GA_WaitingTime_Dominance_PC50,STDDEV,,,0.000000,0.000000
GA_Energy_Dominance_PC50,200,120,0.811514,0,0.000000
GA_Energy_Dominance_PC50,201,98,0.833242,0,0.000000
GA_Energy_Dominance_PC50,202,132,0.847837,0,0.000000
GA_Energy_Dominance_PC50,203,101,0.824075,0,0.000000
GA_Energy_Dominance_PC50,204,113,0.843640,0,0.000000
GA_Energy_Dominance_PC50,205,95,0.787543,0,0.000000
GA_Energy_Dominance_PC50,206,130,0.842510,0,0.000000
GA_Energy_Dominance_PC50,207,120,0.804333,0,0.000000
GA_Energy_Dominance_PC50,208,115,0.798808,0,0.000000
GA_Energy_Dominance_PC50,209,113,0.824576,0,0.000000
GA_Energy_Dominance_PC50,MEAN,,,0.000000,0.000000
GA_Energy_Dominance_PC50,STDDEV,,,0.000000,0.000000
SA_WaitingTime_Dominance_PC50,200,120,0.811514,0,0.000000
SA_WaitingTime_Dominance_PC50,201,98,0.833242,0,0.000000
SA_WaitingTime_Dominance_PC50,202,132,0.847837,0,0.000000
SA_WaitingTime_Dominance_PC50,203,101,0.824075,0,0.000000
SA_WaitingTime_Dominance_PC50,204,113,0.843640,0,0.000000
SA_WaitingTime_Dominance_PC50,205,95,0.787543,0,0.000000
SA_WaitingTime_Dominance_PC50,206,130,0.842510,0,0.000000
