Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs,HV_fixed,ScoredSeeds
SPEA-II_PC85,207,0.450034,0.048867,0.225992,0.007257,44,44,0,12872,0.559955,
SPEA-II_PC85,208,0.476459,0.062678,0.220427,0.003492,45,45,0,12657,0.579880,
SPEA-II_PC85,209,0.422577,0.028489,0.270353,0.001857,38,38,0,12161,0.539453,
SPEA-II_PC85,MEAN,0.438104,0.045422,0.248326,0.003085,41,41,0,11442,0.550674,10
SPEA-II_PC85,STDDEV,0.035752,0.011151,0.023896,0.001517,,,,,0.027281,
AMOSA_PC85,200,0.246445,0.105224,0.353697,0.004925,17,17,0,9404,0.392514,
AMOSA_PC85,201,0.246756,0.104191,0.350558,0.004397,21,21,0,9362,0.392503,
AMOSA_PC85,202,0.248461,0.104253,0.355371,0.006276,13,13,0,12622,0.391905,
AMOSA_PC85,203,0.281830,0.093053,0.325783,0.006296,18,18,0,12801,0.420788,
AMOSA_PC85,204,0.241002,0.103680,0.357766,0.003929,16,16,0,15632,0.388712,
AMOSA_PC85,205,0.274092,0.106327,0.327074,0.009044,27,27,0,15888,0.416303,
AMOSA_PC85,206,0.248703,0.110857,0.347015,0.003573,20,20,0,15483,0.391492,
AMOSA_PC85,207,0.276269,0.101384,0.339459,0.001958,15,15,0,14613,0.413959,
AMOSA_PC85,208,0.264697,0.098273,0.338139,0.001894,21,21,0,14145,0.407135,
AMOSA_PC85,209,0.240836,0.107712,0.353604,0.006806,22,22,0,14195,0.388355,
AMOSA_PC85,MEAN,0.256909,0.103495,0.344847,0.004910,19,19,0,13414,0.400367,10
AMOSA_PC85,STDDEV,0.014881,0.004742,0.011061,0.002128,,,,,0.012065,
GA_WaitingTime_Dominance_PC80,200,0.030998,0.109725,0.524814,0.014586,11,11,0,10412,0.234040,
GA_WaitingTime_Dominance_PC80,201,0.096964,0.017660,0.484711,0.002014,13,13,0,10618,0.290884,
GA_WaitingTime_Dominance_PC80,202,0.056230,0.130993,0.489652,0.010248,8,8,0,10514,0.253712,
GA_WaitingTime_Dominance_PC80,203,0.064158,0.016398,0.513180,0.001146,9,9,0,11507,0.266355,
GA_WaitingTime_Dominance_PC80,204,0.102913,0.019059,0.478602,0.003552,8,8,0,12558,0.295069,
GA_WaitingTime_Dominance_PC80,205,0.087719,0.070650,0.469139,0.055316,14,14,0,9987,0.271211,
GA_WaitingTime_Dominance_PC80,206,0.042000,0.030173,0.530609,0.005506,6,6,0,12364,0.246529,
GA_WaitingTime_Dominance_PC80,207,0.062316,0.068920,0.507802,0.020864,18,18,0,9698,0.241130,
GA_WaitingTime_Dominance_PC80,208,0.059774,0.048697,0.505228,0.008278,12,12,0,9633,0.257090,
GA_WaitingTime_Dominance_PC80,209,0.099539,0.012588,0.483113,0.004865,5,5,0,12185,0.293290,
GA_WaitingTime_Dominance_PC80,MEAN,0.070261,0.052486,0.498685,0.012638,10,10,0,10947,0.264931,10
GA_WaitingTime_Dominance_PC80,STDDEV,0.023851,0.039719,0.019579,0.015350,,,,,0.021152,
GA_Energy_Dominance_PC80,200,0.402379,0.257701,0.290217,0.007309,42,42,0,12516,0.488335,
GA_Energy_Dominance_PC80,201,0.436158,0.217437,0.294762,0.008326,63,63,0,12970,0.519703,
GA_Energy_Dominance_PC80,202,0.523981,0.122649,0.193705,0.003921,60,60,0,13063,0.605090,
